date_range_start,date_range_end,placekey,sg_wp__parent_placekey,sg_wp__location_name,sg_wp__street_address,sg_wp__city,sg_wp__region,sg_wp__postal_code,sg_wp__iso_country_code,sg_wp__safegraph_brand_ids,sg_wp__brands,sg_wp__date_range_start,sg_wp__date_range_end,sg_wp__raw_visit_counts,sg_wp__raw_visitor_counts,sg_wp__visits_by_day,sg_wp__visits_by_each_hour,sg_wp__poi_cbg,sg_wp__visitor_home_cbgs,sg_wp__visitor_home_aggregation,sg_wp__visitor_daytime_cbgs,sg_wp__visitor_country_of_origin,sg_wp__distance_from_home,sg_wp__median_dwell,sg_wp__bucketed_dwell_times,sg_wp__related_same_day_brand,sg_wp__related_same_week_brand,sg_wp__device_type,sg_wp__normalized_visits_by_state_scaling,sg_wp__normalized_visits_by_total_visits,sg_wp__normalized_visits_by_total_visitors,sg_wp__normalized_visits_by_region_naics_visits,sg_wp__normalized_visits_by_region_naics_visitors,sg_c__parent_placekey,sg_c__location_name,sg_c__safegraph_brand_ids,sg_c__brands,sg_c__top_category,sg_c__sub_category,sg_c__naics_code,sg_c__latitude,sg_c__longitude,sg_c__street_address,sg_c__city,sg_c__region,sg_c__postal_code,sg_c__iso_country_code,sg_c__phone_number,sg_c__open_hours,sg_c__category_tags,sg_c__opened_on,sg_c__closed_on,sg_c__tracking_closed_since,sg_c__geometry_type
2020-02-03,2020-02-10,222-222@8gg-qkp-649,,Perennial Gardens,208 Country Creek Dr,Pickens,SC,29671,US,,,2020-02-03T00:00:00-05:00,2020-02-10T00:00:00-05:00,4,1,"[0,0,0,0,1,3,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",450770101002,{},{},{},{},,402.0,"{""<5"":0,""5-10"":0,""11-20"":0,""21-60"":0,""61-120"":1,""121-240"":1,"">240"":2}",{},{},"{""android"":0,""ios"":0}",,,,,,,Perennial Gardens,,,Lawn and Garden Equipment and Supplies Stores,"Nursery, Garden Center, and Farm Supply Stores",444220.0,35.039954,-82.676977,208 Country Creek Dr,Pickens,SC,29671.0,US,18648780290.0,,,,,2019-07-01,POLYGON
2020-02-03,2020-02-10,227-222@8gg-r3b-g8v,,MyEyeDr.,306 E Main St,Pickens,SC,29671,US,SG_BRAND_1617da4d9d55dc44df9681ca9dac5c2b,MyEyeDr.,2020-02-03T00:00:00-05:00,2020-02-10T00:00:00-05:00,38,15,"[7,7,12,7,4,1,0]","[0,0,0,0,0,0,0,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",450770105022,"{""450770102001"":4,""450770105021"":4}","{""45077010502"":6,""45077010601"":4,""45077010602"":4,""45007010104"":4,""45077010200"":4,""45077010700"":4}","{""450770110024"":4,""450770101001"":4,""450070101043"":4,""450770102001"":4}","{""US"":15}",14773.0,239.0,"{""<5"":0,""5-10"":3,""11-20"":2,""21-60"":4,""61-120"":1,""121-240"":9,"">240"":19}","{""McDonald's"":10,""Walmart"":7,""Stop-A-Minit"":7,""Lowe's"":7,""Dollar General"":7,""Zaxby's"":7,""Freddy's Frozen Custard"":3,""Taco Bell"":3,""PetSmart"":3,""Ace Hardware"":3,""Kohl's"":3,""Chick-fil-A"":3,""Applebee's"":3,""Walgreens"":3,""Burger King"":3,""YMCA"":3,""Spinx"":3,""Vermeer"":3}","{""McDonald's"":40,""Ingles Markets"":33,""Walmart"":27,""Stop-A-Minit"":27,""Lowe's"":27,""Dollar General"":20,""QuikTrip"":20,""Spinx"":20,""Olive Garden"":13,""Domino's Pizza"":13,""Taco Bell"":13,""PetSmart"":13,""Kohl's"":13,""Zaxby's"":13,""Hardee's"":13,""Walgreens"":13,""CVS"":13,""Roses Express"":7,""Freddy's Frozen Custard"":7,""Ross Stores"":7}","{""android"":8,""ios"":6}",,,,,,,MyEyeDr.,SG_BRAND_1617da4d9d55dc44df9681ca9dac5c2b,MyEyeDr.,Offices of Other Health Practitioners,Offices of Optometrists,621320.0,34.883753,-82.706144,306 E Main St,Pickens,SC,29671.0,US,18648786060.0,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,,,2019-07-01,POLYGON
2020-02-03,2020-02-10,zzw-223@8gg-r3n-6p9,,Patrick C MacRae DMD Pickens Family Dentistry,829 Pendleton St,Pickens,SC,29671,US,,,2020-02-03T00:00:00-05:00,2020-02-10T00:00:00-05:00,3,3,"[0,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",450770104025,{},{},{},"{""US"":4}",,92.0,"{""<5"":0,""5-10"":0,""11-20"":0,""21-60"":1,""61-120"":1,""121-240"":1,"">240"":0}",{},{},"{""android"":0,""ios"":4}",,,,,,,Pickens Family Dentistry,,,Offices of Dentists,Offices of Dentists,621210.0,34.875776,-82.70412,829 Pendleton St,Pickens,SC,29671.0,US,18648783501.0,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""12:00""]], ""Sat"": [], ""Sun"": [] }",,,,2019-07-01,POLYGON
2020-02-03,2020-02-10,222-222@8gg-r3n-7wk,,Pickens Elementary,567 Hampton Ave,Pickens,SC,29671,US,,,2020-02-03T00:00:00-05:00,2020-02-10T00:00:00-05:00,103,45,"[20,26,22,32,2,1,0]","[0,0,0,0,0,0,0,4,6,0,2,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,2,0,2,0,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,2,2,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,1,4,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",450770104025,"{""450770105022"":5,""450770105021"":5,""450770111025"":4,""450770104031"":4,""450770104024"":4,""450770107001"":4,""450770102001"":4,""450770109032"":4,""450599201011"":4,""450770110011"":4}","{""45077010403"":8,""45077010502"":5,""45059920101"":4,""45077010700"":4,""45077010402"":4,""45077010803"":4,""45077011001"":4,""45077010401"":4,""45077010903"":4}","{""450070003002"":8,""450770104031"":6,""450770104023"":4,""450770105022"":4,""450770104025"":4,""450770110011"":4,""450770107001"":4,""450770107003"":4,""450770108011"":4,""450770105021"":4}","{""US"":40}",5056.0,113.0,"{""<5"":4,""5-10"":17,""11-20"":10,""21-60"":13,""61-120"":8,""121-240"":13,"">240"":38}","{""McDonald's"":12,""Dollar General"":8,""Walmart"":7,""Burger King"":4,""Ingles Markets"":3,""Dollar Tree"":3,""Stop-A-Minit"":2,""Olive Garden"":2,""Freddy's Frozen Custard"":2,""Walgreens"":2,""Sam's Club"":2,""Spinx"":2,""Belk"":1,""Planet Fitness"":1,""Miracle-Ear"":1,""Ross Stores"":1,""First Citizens Bancshares"":1,""Domino's Pizza"":1,""Taco Bell"":1,""Lowe's"":1}","{""Walmart"":47,""McDonald's"":40,""Dollar General"":20,""Dollar Tree"":20,""Burger King"":16,""CVS"":13,""Stop-A-Minit"":11,""Freddy's Frozen Custard"":11,""QuikTrip"":11,""Ingles Markets"":11,""Taco Bell"":9,""Wendy's"":9,""Sam's Club"":9,""Cook Out"":7,""Olive Garden"":7,""Simon mall"":7,""Goodwill Industries"":7,""HotSpot"":7,""Applebee's"":7,""Zaxby's"":7}","{""android"":21,""ios"":25}",,,,,,,Pickens Elementary,,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110.0,34.874716,-82.699857,567 Hampton Ave,Pickens,SC,29671.0,US,18643972300.0,,,,,2019-07-01,POLYGON
2020-02-03,2020-02-10,222-222@8gg-r3b-ghq,,Haven of Rest Ministries,211 Pendleton St,Pickens,SC,29671,US,,,2020-02-03T00:00:00-05:00,2020-02-10T00:00:00-05:00,5,5,"[0,2,1,0,2,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",450770105022,{},{},{},"{""US"":4}",12247.0,21.0,"{""<5"":0,""5-10"":2,""11-20"":0,""21-60"":2,""61-120"":1,""121-240"":0,"">240"":0}","{""Walmart"":40,""Lowe's"":20,""United States Postal Service (USPS)"":20,""Ingles Markets"":20,""YMCA"":20,""Bojangles'"":20,""Arby's"":20}","{""Walmart"":80,""Ingles Markets"":60,""Starbucks"":40,""Arby's"":40,""Belk"":20,""Roses Express"":20,""Stop-A-Minit"":20,""FATZ"":20,""Simon mall"":20,""Sephora"":20,""Lowe's"":20,""KFC"":20,""Hobby Lobby Stores"":20,""76"":20,""Palmetto Moon"":20,""Chick-fil-A"":20,""Walgreens"":20,""Bank of America"":20,""United States Postal Service (USPS)"":20,""Pizza Inn"":20}","{""android"":4,""ios"":4}",,,,,,,Haven of Rest Ministries,,,Religious Organizations,Religious Organizations,813110.0,34.88179,-82.70605,211 Pendleton St,Pickens,SC,29671.0,US,18648980308.0,,,,,2019-07-01,POLYGON
2020-02-03,2020-02-10,222-223@8gg-qmv-7yv,,Holly Springs Elementary,120 Holly Springs School Rd,Pickens,SC,29671,US,,,2020-02-03T00:00:00-05:00,2020-02-10T00:00:00-05:00,2,2,"[1,0,0,0,0,1,0]","[0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",450770101001,"{""450770101002"":4,""450770103002"":4}","{""45077010300"":4}","{""450770103002"":4}","{""US"":4}",,7.5,"{""<5"":0,""5-10"":2,""11-20"":0,""21-60"":0,""61-120"":0,""121-240"":0,"">240"":0}",{},{},"{""android"":0,""ios"":4}",,,,,,,Holly Springs Elementary,,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110.0,34.972321,-82.753523,120 Holly Springs School Rd,Pickens,SC,29671.0,US,18643972000.0,,,,,2019-07-01,POLYGON
2020-02-03,2020-02-10,222-223@8gg-r3n-k9f,,Henrys Cafe and Catering,2829 Gentry Memorial Hwy,Pickens,SC,29671,US,,,2020-02-03T00:00:00-05:00,2020-02-10T00:00:00-05:00,8,8,"[2,1,1,0,2,2,0]","[0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",450770104025,"{""450770103001"":4}","{""45077010401"":6,""45077010403"":4,""45049920200"":4,""45077010300"":4}","{""450770110024"":4,""450770104021"":4,""450770104031"":4}","{""US"":8}",6382.0,27.0,"{""<5"":0,""5-10"":0,""11-20"":2,""21-60"":6,""61-120"":0,""121-240"":0,"">240"":0}","{""CVS"":25,""Walmart"":13,""Stop-A-Minit"":13,""Applebee's"":13,""Ingles Markets"":13,""A&W Restaurants"":13,""Bargain Hunt"":13,""Spinx"":13}","{""Walmart"":38,""Applebee's"":38,""Ingles Markets"":38,""Long John Silver's"":25,""CVS"":25,""Little Caesars"":13,""Stop-A-Minit"":13,""Popeyes Louisiana Kitchen"":13,""Dollar General"":13,""HotSpot"":13,""Ace Hardware"":13,""O'Reilly Auto Parts"":13,""Chick-fil-A"":13,""Zaxby's"":13,""A&W Restaurants"":13,""Bargain Hunt"":13,""Spinx"":13,""Dunkin'"":13,""Family Dollar Stores"":13}","{""android"":0,""ios"":6}",,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,2020-02-10,222-222@8gg-r3n-7yv,,Dollar Tree,529 Hampton Ave,Pickens,SC,29671,US,SG_BRAND_6b1e006c89aa3f8b054a05fa90581501,Dollar Tree,2020-02-03T00:00:00-05:00,2020-02-10T00:00:00-05:00,44,33,"[12,12,5,5,4,2,4]","[0,0,0,0,0,0,0,5,2,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0]",450770104025,"{""450770104031"":7,""450770104021"":5,""450770104022"":4,""450770103001"":4,""450450023021"":4,""450770105022"":4,""450770107003"":4,""450770111025"":4,""450770110023"":4}","{""45045003701"":7,""45077010403"":6,""45077010700"":5,""45077010402"":5,""45077010300"":4,""45077010100"":4,""45007010103"":4}","{""450770107003"":5,""450770104023"":5,""450770104031"":5,""450770110023"":4,""450770102002"":4,""450599201011"":4}","{""US"":31}",6787.0,14.5,"{""<5"":1,""5-10"":17,""11-20"":6,""21-60"":12,""61-120"":4,""121-240"":2,"">240"":2}","{""Walmart"":18,""HotSpot"":11,""Dollar General"":8,""Walgreens"":5,""McDonald's"":5,""Bargain Hunt"":5,""AutoZone"":5,""Spinx"":5,""Shell Oil"":5,""ULTA Beauty"":3,""Stop-A-Minit"":3,""Goodwill Industries"":3,""First Citizens Bancshares"":3,""Tuesday Morning"":3,""Taco Bell"":3,""CrossFit"":3,""Chick-fil-A"":3,""Zaxby's"":3,""PruittHealth"":3,""Big Lots Stores"":3}","{""Walmart"":58,""McDonald's"":30,""Dollar General"":24,""HotSpot"":18,""Zaxby's"":18,""Ingles Markets"":18,""Stop-A-Minit"":15,""CVS"":15,""AutoZone"":15,""Spinx"":15,""Walgreens"":12,""Freddy's Frozen Custard"":9,""Goodwill Industries"":9,""Lowe's"":9,""Wendy's"":9,""Hardee's"":9,""Bojangles'"":9,""Shell Oil"":9,""Arby's"":9,""BI-LO"":6}","{""android"":19,""ios"":12}",,,,,,,Dollar Tree,SG_BRAND_6b1e006c89aa3f8b054a05fa90581501,Dollar Tree,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319.0,34.875924,-82.700135,529 Hampton Ave,Pickens,SC,29671.0,US,18643976140.0,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [[""10:00"", ""20:00""]] }",,,,2021-05-09,POLYGON
2020-02-03,2020-02-10,223-222@8gg-r2j-t7q,,Parent Education Family Literacy,1755 Shady Grove Rd,Pickens,SC,29671,US,,,2020-02-03T00:00:00-05:00,2020-02-10T00:00:00-05:00,11,6,"[2,2,3,4,0,0,0]","[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",450770102002,"{""450770109021"":4,""450730309011"":4}","{""45073030200"":4,""45077010200"":4}","{""450730309011"":4}","{""US"":5}",17759.0,10.0,"{""<5"":2,""5-10"":4,""11-20"":3,""21-60"":1,""61-120"":0,""121-240"":1,"">240"":0}","{""IKEA"":22,""Culver's"":22,""Walmart"":11,""Cinnabon"":11,""Denny's"":11,""Valero Energy"":11,""AutoZone"":11}","{""Walmart"":50,""Dollar General"":50,""Applebee's"":33,""IKEA"":33,""Culver's"":33,""Dollar Tree"":33,""Cinnabon"":17,""Freddy's Frozen Custard"":17,""Goodwill Industries"":17,""PetSmart"":17,""GameStop"":17,""7-Eleven"":17,""Moe's Southwest Grill"":17,""Sam's Club Fuel Center"":17,""Denny's"":17,""Moe's Original Bar B Que"":17,""Walgreens"":17,""United States Postal Service (USPS)"":17,""Ingles Markets"":17,""Valero Energy"":17}","{""android"":4,""ios"":4}",,,,,,,Parent Education Family Literacy,,,Child Day Care Services,Child Day Care Services,624410.0,34.900215,-82.793116,1755 Shady Grove Rd,Pickens,SC,29671.0,US,,,,,,2019-07-01,POLYGON
2020-02-03,2020-02-10,223-222@8gg-r3h-qvf,222-222@8gg-r3h-r6k,Heidi's Dog House,502 Ann St Ste S,Pickens,SC,29671,US,,,2020-02-03T00:00:00-05:00,2020-02-10T00:00:00-05:00,52,47,"[9,12,6,3,8,12,2]","[0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0]",450770104023,"{""450770104031"":4,""450770105022"":4,""450770104024"":4,""450770104022"":4,""450770110011"":4,""450770105021"":4,""450770105011"":4,""450770108022"":4,""450070116001"":4,""450770106012"":4}","{""45077010402"":9,""45077010200"":5,""45077010502"":4,""45077010601"":4,""45077010403"":4,""45077010602"":4,""45077010401"":4,""45077011002"":4}","{""450770104031"":10,""450770110011"":4,""450770104025"":4,""450770104024"":4,""450770104022"":4}","{""US"":43}",8060.0,20.5,"{""<5"":1,""5-10"":17,""11-20"":8,""21-60"":19,""61-120"":5,""121-240"":1,"">240"":1}","{""Walmart"":16,""McDonald's"":8,""HotSpot"":6,""Ace Hardware"":6,""Burger King"":6,""Stop-A-Minit"":4,""Lowe's"":4,""Dollar General"":4,""Ingles Markets"":4,""Bojangles'"":4,""Spinx"":4,""Shell Oil"":4,""Belk"":2,""Orkin"":2,""The Home Depot"":2,""Smoothie King"":2,""Popeyes Louisiana Kitchen"":2,""Wendy's"":2,""Prisma Health"":2,""QuikTrip"":2}","{""Walmart"":38,""Ingles Markets"":28,""Dollar General"":17,""McDonald's"":17,""Bojangles'"":17,""Shell Oil"":17,""Dollar Tree"":17,""Burger King"":15,""Stop-A-Minit"":13,""Lowe's"":13,""Applebee's"":13,""Ace Hardware"":11,""QuikTrip"":11,""Pizza Inn"":11,""HotSpot"":9,""Zaxby's"":9,""AutoZone"":9,""Starbucks"":6,""Wendy's"":6,""Marathon"":6}","{""android"":21,""ios"":25}",,,,,,222-222@8gg-r3h-r6k,Heidi's Dog House,,,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,34.89426,-82.709525,502 Ann St Ste S,Pickens,SC,29671.0,US,18648984504.0,"{ ""Mon"": [[""11:00"", ""19:00""]], ""Tue"": [[""11:00"", ""19:00""]], ""Wed"": [[""11:00"", ""19:00""]], ""Thu"": [[""11:00"", ""19:00""]], ""Fri"": [[""11:00"", ""20:00""]], ""Sat"": [[""11:00"", ""20:00""]], ""Sun"": [] }",,,,2019-07-01,POLYGON
2020-02-03,2020-02-10,225-222@8gg-r3f-w8v,,A B C Antiques & Variety Mall,310 Hampton Ave,Pickens,SC,29671,US,,,2020-02-03T00:00:00-05:00,2020-02-10T00:00:00-05:00,16,13,"[1,2,4,2,4,1,2]","[0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]",450770105022,"{""450070101043"":4}","{""45077010502"":4,""45007010104"":4,""45045002005"":4,""45083023001"":4}","{""450770105022"":4,""450770105021"":4,""450070003002"":4,""450450020051"":4}","{""US"":13}",13376.0,14.5,"{""<5"":0,""5-10"":4,""11-20"":6,""21-60"":1,""61-120"":1,""121-240"":3,"">240"":1}","{""Dollar General"":33,""Walmart"":27,""QuikTrip"":13,""McDonald's"":13,""AutoZone"":13,""Sonic"":7,""Stop-A-Minit"":7,""Domino's Pizza"":7,""PetSmart"":7,""GameStop"":7,""Popeyes Louisiana Kitchen"":7,""Wendy's"":7,""Mobil"":7,""Stage Stores"":7,""Long John Silver's"":7,""Hardee's"":7,""Burger King"":7,""United States Postal Service (USPS)"":7,""CVS"":7,""CITGO"":7}","{""Walmart"":62,""McDonald's"":46,""Dollar General"":31,""Hardee's"":31,""Zaxby's"":23,""Stop-A-Minit"":15,""Wendy's"":15,""QuikTrip"":15,""Long John Silver's"":15,""Walgreens"":15,""Bojangles'"":15,""AutoZone"":15,""Jet's Pizza"":8,""Sonic"":8,""BI-LO"":8,""Cook Out"":8,""Simon mall"":8,""Ross Stores"":8,""Domino's Pizza"":8,""T.J. Maxx"":8}","{""android"":7,""ios"":0}",,,,,,,A B C Antiques & Variety Mall,,,Used Merchandise Stores,Used Merchandise Stores,453310.0,34.880992,-82.703508,310 Hampton Ave,Pickens,SC,29671.0,US,,,,,,2019-07-01,POLYGON
2020-02-03,2020-02-10,222-222@8gg-qhb-h89,,New Life Baptist Church,181 Hillcrest Dr,Pickens,SC,29671,US,,,2020-02-03T00:00:00-05:00,2020-02-10T00:00:00-05:00,8,4,"[0,0,5,0,0,1,2]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0]",450770107003,{},{},{},"{""US"":4}",,66.5,"{""<5"":0,""5-10"":0,""11-20"":0,""21-60"":3,""61-120"":5,""121-240"":0,"">240"":0}",{},{},"{""android"":0,""ios"":4}",,,,,,,New Life Baptist Church,,,Religious Organizations,Religious Organizations,813110.0,34.866236,-82.66328,181 Hillcrest Dr,Pickens,SC,29671.0,US,18648980034.0,,,,,2019-07-01,POLYGON
